feature,importance
num__DepHour,0.3308171718176095
num__temp,0.11224566999549486
num__prcp,0.10786515468323207
num__Day,0.10139764814687943
num__Month,0.09176551797389386
num__wspd,0.06762714806534599
num__Route_Arr_Delay_Rate,0.05480524922446647
num__DayOfWeek,0.04492041377371101
num__airline_delay_rate,0.024826426391567125
num__origin_delay_rate,0.012467963618445002
cat__Origin_LGA,0.007802297243925168
num__rain,0.005198705452388666
cat__Reporting_Airline_YX,0.0040245549090047765
cat__Dest_BOS,0.0036081629469500694
num__snow,0.003405699401826175
cat__Dest_DCA,0.002853039146975739
num__IsHolidayWindow,0.0020766236400523415
cat__Dest_FLL,0.0016880340137644815
cat__Origin_JFK,0.0016874794717894063
cat__Reporting_Airline_B6,0.0016670727894609234
cat__Dest_ORD,0.0012581716442992405
cat__DepTimeCategory_Evening,0.0012515568311968883
cat__Dest_DFW,0.0012246046820338725
cat__Origin_HPN,0.0011812996703390623
num__IsWeekend,0.000906502043897532
cat__Route_LGA_MIA,0.0008752587324414888
cat__Origin_BUF,0.0008591705133367153
cat__Reporting_Airline_WN,0.0007852155789786629
cat__Dest_MCO,0.0006266764768221111
cat__Route_JFK_SJU,0.0005978519013232662
cat__Reporting_Airline_OH,0.0005913511610141
cat__Route_JFK_BNA,0.0005650279953975472
cat__Route_HPN_SJU,0.0005332046718826355
cat__Reporting_Airline_AA,0.0005137498925095859
cat__Wind_type_Normal,0.0004990550678921437
cat__Reporting_Airline_OO,0.00048330838960260013
cat__Reporting_Airline_G4,0.0004273939429687574
cat__Reporting_Airline_DL,0.0004258666230086649
cat__Route_LGA_BOS,0.00039719543343445644
cat__Reporting_Airline_AS,0.00033953864314167226
cat__Origin_ALB,0.00033868503942225477
cat__Route_JFK_LAX,0.0003350186045527687
cat__Route_LGA_MCO,0.00027314676450092306
cat__Origin_ROC,0.00024536483398337463
cat__Route_LGA_RDU,0.00021497690057002632
cat__Origin_SYR,0.00021214470853318947
cat__Dest_DTW,0.00020228183373226333
cat__Dest_CLT,0.0002016366450677638
cat__Dest_LAX,0.00016565359214011432
cat__Route_BUF_DCA,0.00016279811826042735
cat__Reporting_Airline_MQ,0.00016096658099196124
cat__DepTimeCategory_Morning,0.00015741512096801845
cat__Dest_MDW,0.00014605419468020626
cat__Route_SWF_SFB,9.182446029268894e-05
cat__Route_LGA_DCA,0.0
cat__Route_LGA_GSP,0.0
cat__Route_LGA_GSO,0.0
cat__Route_LGA_BGR,0.0
cat__Route_LGA_AVL,0.0
cat__Route_LGA_ATL,0.0
cat__Route_LGA_ALB,0.0
cat__Route_LGA_AGS,0.0
cat__Route_LGA_ACK,0.0
cat__Route_JFK_TPA,0.0
cat__Route_LGA_GRR,0.0
cat__Route_JFK_SYR,0.0
cat__Route_JFK_STT,0.0
cat__Route_JFK_SRQ,0.0
cat__Route_LGA_HHH,0.0
