feature,importance
num__DepHour,0.1614938907500188
cat__DepTimeCategory_Morning,0.13648271829317538
cat__DepTimeCategory_Evening,0.06908095169508738
num__prcp,0.06876079162888007
num__temp,0.05989448585453635
num__wspd,0.049638624873792773
num__Month,0.04660305267166092
num__rain,0.04311256945501021
num__Route_Arr_Delay_Rate,0.0428259181079881
num__Day,0.04225850677435666
num__snow,0.03511972755855464
num__DayOfWeek,0.02388797578401881
cat__DepTimeCategory_Afternoon,0.021506322765885127
num__airline_delay_rate,0.016972609730925202
cat__Wind_type_Normal,0.016531615273968563
cat__Wind_type_Windy,0.016204346130659877
num__origin_delay_rate,0.010910283186313556
cat__Rain_type_Normal,0.0066624425294691215
num__IsWeekend,0.006047498664820489
cat__Rain_type_Moderate,0.005336467521994349
cat__Origin_LGA,0.005219367333124419
cat__Reporting_Airline_B6,0.004002269944946472
cat__Reporting_Airline_F9,0.003932083110884106
cat__Reporting_Airline_YX,0.003896264348910312
num__IsHolidayWindow,0.003143582571154787
cat__Dest_DCA,0.002653849682888301
cat__Origin_JFK,0.002603419986171908
cat__Origin_BUF,0.002551657635590801
cat__Dest_BWI,0.002337983521351691
cat__Reporting_Airline_WN,0.0020554951405864787
cat__Dest_ORD,0.0020079709422875284
cat__Reporting_Airline_OH,0.0020061789484983896
cat__Reporting_Airline_DL,0.0018694475637823964
cat__Route_JFK_LAX,0.0017057762268328461
cat__Dest_LAX,0.0016411390625704241
cat__Reporting_Airline_AA,0.0015716782092075755
cat__Origin_SYR,0.001400013206193591
cat__Route_LGA_ORD,0.0013924164191980227
cat__DepTimeCategory_Late Night,0.0012263789416022653
cat__Dest_DTW,0.0012255063755578833
cat__Dest_CLT,0.001187253555672491
cat__Origin_ALB,0.001150457112706021
num__IsFixedHoliday,0.0011074825446191654
cat__Origin_ROC,0.0010920411244683902
cat__Dest_MCO,0.001084408935317967
cat__Dest_BOS,0.0010680427066793253
cat__Route_JFK_SJU,0.0010422650694335582
cat__Dest_DFW,0.0010356475942558654
cat__Reporting_Airline_UA,0.0010124125909312675
cat__Reporting_Airline_9E,0.0010096819003658452
cat__Dest_SJU,0.0009974794499691738
cat__Dest_MIA,0.000967794767946676
cat__Reporting_Airline_NK,0.0009033429222923907
cat__Reporting_Airline_OO,0.0008776857583292583
cat__Dest_PBI,0.0008651762146992783
cat__Origin_HPN,0.0008616645023100746
cat__Route_LGA_DFW,0.0008356045038118402
cat__Dest_ATL,0.0008299598703778259
cat__Route_ALB_BWI,0.0007947892125742042
cat__Reporting_Airline_G4,0.0006935059212100122
cat__Reporting_Airline_AS,0.0006566141659126358
cat__Dest_FLL,0.0006412664969260564
cat__Dest_DEN,0.0006128346337974978
cat__Dest_SFO,0.0005940466584147048
cat__Route_ALB_DCA,0.0005891623024152875
cat__Rain_type_Heavy,0.0005788396749671781
cat__Route_JFK_SFO,0.0005653355448972611
cat__Route_HPN_DCA,0.0005633642361940775
cat__Origin_ISP,0.0005597300800517943
cat__Route_LGA_BOS,0.0005594140750320319
cat__Dest_TPA,0.0005556497860232468
cat__Dest_LAS,0.0005322011118827179
cat__Route_JFK_LAS,0.0005222192573511242
cat__Route_BUF_BWI,0.0005125669774302431
cat__Route_JFK_MIA,0.0004944265978433993
cat__Reporting_Airline_MQ,0.00047410383632247126
cat__Dest_PIT,0.00046783704471644417
cat__Route_LGA_MIA,0.0004657606708417933
cat__Route_LGA_MCO,0.00046370902936032225
cat__Route_LGA_PBI,0.0004378647304608465
cat__Route_LGA_DEN,0.0004339441495729898
cat__Route_JFK_BOS,0.00042859934005028567
cat__Route_LGA_ATL,0.00042535421943368966
cat__Route_LGA_CLT,0.0004216879658492808
cat__Dest_PHX,0.00042142857335764614
cat__Dest_JFK,0.0004189795045128983
cat__Route_LGA_TPA,0.0004026974317639322
cat__Dest_SAN,0.0004014998216524021
cat__Route_JFK_DCA,0.00039906827453594675
cat__Route_ALB_DTW,0.00039375170464462663
cat__Route_JFK_MCO,0.000391872173306833
cat__Route_JFK_ATL,0.00038170487024643943
cat__Route_JFK_SAN,0.00038074388653389025
cat__Route_ROC_ORD,0.000380490336527246
cat__Dest_ACK,0.0003748876693305298
cat__Route_LGA_DCA,0.0003736864937113995
cat__Route_BUF_MCO,0.0003654271419198406
cat__Route_ROC_FLL,0.00035787361994537475
cat__Route_JFK_PHX,0.00035748407141006903
cat__Dest_RDU,0.0003548535490741631
cat__Dest_MSP,0.00035457302618640977
cat__Dest_LGA,0.0003335957497593463
cat__Dest_BNA,0.0003331579141217701
cat__Dest_RSW,0.0003311872570095608
cat__Route_BUF_DCA,0.0003212610291630074
cat__Route_BUF_ORD,0.0003104763645638884
cat__Dest_MDW,0.0003100725996591984
cat__Route_JFK_CLT,0.00030759447266801856
cat__Dest_CLE,0.00030632680688818327
cat__Route_SYR_CLT,0.00029131698753336787
cat__Route_LGA_PIT,0.00029060381331361433
cat__Route_LGA_MSP,0.0002861574717836281
cat__Route_ISP_BWI,0.0002839480871205011
cat__Route_SYR_ATL,0.00027938425531434067
cat__Route_SYR_ORD,0.000276195565994003
cat__Route_LGA_FLL,0.00027475686468136934
cat__Route_LGA_DTW,0.0002744466406195051
cat__Dest_IAH,0.0002659116609784066
cat__Route_LGA_SDF,0.00026212731405320366
cat__Dest_CMH,0.0002612179632473562
cat__Route_BUF_LGA,0.00026040925638160374
cat__Route_HPN_TPA,0.0002603536654738222
cat__Route_ALB_ORD,0.0002583503523001674
cat__Dest_SFB,0.0002485153951181288
cat__Route_JFK_DFW,0.0002389505858714964
cat__Dest_SDF,0.0002379331229464241
cat__Route_BUF_ATL,0.00023481562761423232
cat__Route_SYR_DTW,0.00023419980653919522
cat__Route_ROC_DCA,0.000229926388054248
cat__Route_JFK_FLL,0.00022897543551444105
cat__Reporting_Airline_HA,0.00022510381524455485
cat__Route_HPN_RSW,0.00022468358698074593
cat__Route_ROC_CLT,0.0002236745522425288
cat__Route_LGA_IAH,0.00022326559596980017
cat__Dest_PWM,0.0002202984339378633
cat__Dest_IND,0.00022020598688395955
cat__Dest_EWR,0.00021863057575278446
cat__Route_ISP_MCO,0.0002167580336841042
cat__Route_SYR_DCA,0.00021647226306981056
cat__Dest_MVY,0.00021261901116575546
cat__Dest_HNL,0.00021104766879253504
cat__Route_JFK_PIT,0.0002092754588034159
cat__Origin_ELM,0.00020690456819512525
cat__Route_JFK_SEA,0.00020608466061660064
cat__Route_JFK_AUS,0.00020384755275736817
cat__Route_ELM_DTW,0.00020244537895310557
cat__Route_HPN_CLT,0.0002007799751554529
cat__Route_JFK_PBI,0.0002007148965236854
cat__Dest_SRQ,0.0002002891671464692
cat__Dest_CVG,0.00019961062692325677
cat__Route_JFK_CVG,0.00019897962686737393
cat__Dest_BUF,0.00019864706895484353
cat__Dest_SEA,0.00019842522647990038
cat__Dest_MYR,0.00019775576085792547
cat__Route_LGA_CMH,0.000195683220324873
cat__Dest_HHH,0.00019292111308086477
cat__Route_BUF_DTW,0.00018996787876861975
cat__Route_HPN_ATL,0.00018918110384568673
cat__Route_LGA_MSY,0.000187177039117617
cat__Route_ROC_BWI,0.00018471281270984543
cat__Dest_STL,0.0001846219506388254
cat__Dest_MSY,0.00018341704585760836
cat__Route_JFK_HNL,0.00018329452002034604
cat__Route_ALB_CLT,0.00018249747031716753
