feature,importance
cat__DepTimeCategory_Morning,0.10744452
num__DepHour,0.029293722
num__prcp,0.017019268
num__Route_Arr_Delay_Rate,0.011333944
num__snow,0.011137106
cat__DepTimeCategory_Evening,0.010988943
cat__Reporting_Airline_F9,0.010183009
cat__Origin_LGA,0.009890285
num__Month,0.009645247
num__rain,0.008190262
cat__Dest_BOS,0.0079637375
cat__Wind_type_Normal,0.007648854
cat__Route_ROC_FLL,0.00747341
num__Day,0.007263375
num__airline_delay_rate,0.00689436
cat__Dest_BWI,0.0068328064
num__temp,0.0060246726
cat__Origin_JFK,0.006018652
num__origin_delay_rate,0.005830291
num__DayOfWeek,0.0056832586
cat__Reporting_Airline_YX,0.0056498153
cat__Route_LGA_BOS,0.0055170343
num__IsHolidayWindow,0.0054266457
cat__DepTimeCategory_Afternoon,0.005425652
cat__Route_BUF_ORD,0.0052784877
cat__Wind_type_Windy,0.005131807
cat__Dest_SJU,0.0050715655
cat__Route_JFK_ORD,0.005052179
cat__Route_JFK_SJU,0.0047759013
num__IsWeekend,0.004733116
cat__Dest_DFW,0.0047122566
cat__Dest_ORD,0.0047073974
cat__Reporting_Airline_UA,0.0046775085
cat__Dest_DCA,0.004662998
cat__Route_JFK_SAN,0.004635334
cat__Route_ELM_DTW,0.004586917
cat__Route_ALB_ATL,0.0045027304
cat__Dest_CVG,0.0044994242
cat__Route_LGA_DEN,0.0044983104
cat__Dest_MCI,0.004497404
num__IsFixedHoliday,0.004472558
cat__Reporting_Airline_WN,0.0044696503
cat__Reporting_Airline_AS,0.004464406
cat__Route_JFK_BOS,0.0043990915
num__wspd,0.00439758
cat__Dest_LAX,0.004396538
cat__Reporting_Airline_9E,0.0043736217
cat__Dest_PBI,0.0043559833
cat__Route_JFK_SFO,0.004302028
cat__Dest_MSY,0.004238648
cat__Dest_DTW,0.004133234
cat__Dest_GSP,0.00411847
cat__Origin_SYR,0.0040712203
cat__Route_ROC_DCA,0.004015699
cat__Route_LGA_ORD,0.0039502764
cat__Dest_MIA,0.0038599938
cat__Route_LGA_EYW,0.0037788623
cat__Route_IAG_PIE,0.0037537967
cat__Route_JFK_RSW,0.0037392299
cat__Dest_LGA,0.00365703
cat__Origin_BUF,0.0036560528
cat__Route_LGA_MDW,0.003636845
cat__Reporting_Airline_B6,0.0036297247
cat__Route_JFK_MCO,0.0036029802
cat__Route_JFK_CLT,0.0035961901
cat__Route_SYR_DFW,0.0035851076
cat__Rain_type_Normal,0.0035350448
cat__Route_LGA_BUF,0.0035107427
cat__Dest_DEN,0.003478492
cat__Route_BUF_CLT,0.0034503324
cat__Route_ALB_PGD,0.003444225
cat__Reporting_Airline_G4,0.0034093573
cat__Dest_EWR,0.0033983993
cat__Origin_HPN,0.0033858304
cat__Origin_PBG,0.0033310766
cat__Route_ROC_BWI,0.003304369
cat__Route_JFK_DFW,0.0032775702
cat__Route_LGA_DCA,0.0032124016
cat__Route_BUF_DEN,0.0031873628
cat__Reporting_Airline_AA,0.0031541314
cat__Route_LGA_IAH,0.003134961
cat__Route_ALB_MCO,0.0031017014
cat__Route_LGA_ATL,0.0031003186
cat__Route_ALB_CLT,0.003086863
cat__Route_SYR_FLL,0.0030780877
cat__Dest_SFO,0.003076356
cat__Route_JFK_PBI,0.0030751126
cat__Dest_MCO,0.0030591579
cat__Reporting_Airline_OH,0.003053387
cat__Dest_CLT,0.0030413363
cat__Route_LGA_PHL,0.0030406567
cat__Dest_SAN,0.0030188202
cat__Route_ISP_TPA,0.0029975178
cat__Dest_FLL,0.0029826858
cat__Route_SYR_EWR,0.0029599653
cat__Route_BUF_DTW,0.0029592486
cat__Route_JFK_CVG,0.0029564372
cat__Route_LGA_FLL,0.0029497338
cat__Dest_SDF,0.0029112964
cat__Route_ALB_DTW,0.0029082603
cat__Route_JFK_DTW,0.0029078124
cat__Route_LGA_SYR,0.0028963974
cat__Route_HPN_SJU,0.0028384302
cat__Route_ISP_BWI,0.0028329056
cat__Reporting_Airline_HA,0.0028242427
cat__Route_ISP_PBI,0.0028230587
cat__Route_JFK_ROC,0.002819826
